Algorithm,Noise_Ratio,T,s,Max_Included_Literals,Epochs,Platform,Total_Time,Accuracy
TMClassifier,0.005,10000,10.0,32,10,CPU_sparse,958.8415122032166,76.63934426229508
Graph NN,0.01,0,0,0,20000,CPU,340.71677923202515,91.557377576828
GraphTM,0.01,10000,10.0,23,10,CUDA,113.30413746833801,98.4153005464481
TMClassifier,0.01,10000,10.0,32,10,CPU_sparse,954.5596807003021,74.86338797814209
Graph NN,0.02,0,0,0,20000,CPU,395.9958527088165,90.95628261566162
GraphTM,0.02,10000,10.0,23,10,CUDA,120.9222981929779,97.8415300546448
TMClassifier,0.02,10000,10.0,32,10,CPU_sparse,969.4929764270782,72.40437158469946
Graph NN,0.05,0,0,0,20000,CPU,480.05427837371826,84.83606576919556
GraphTM,0.05,10000,10.0,23,10,CUDA,135.44805693626404,94.67213114754098
TMClassifier,0.05,10000,10.0,32,10,CPU_sparse,960.4112854003906,64.00273224043715
Graph NN,0.1,0,0,0,20000,CPU,383.12051796913147,70.8743155002594
GraphTM,0.1,10000,10.0,23,10,CUDA,149.93119883537292,89.86338797814207
TMClassifier,0.1,10000,10.0,32,10,CPU_sparse,951.469316482544,49.35109289617486
Graph NN,0.2,0,0,0,20000,CPU,463.9883725643158,66.22951030731201
GraphTM,0.2,10000,10.0,23,10,CUDA,170.47470378875732,78.16939890710383
TMClassifier,0.2,10000,10.0,32,10,CPU_sparse,960.5258178710938,20.116120218579233
Graph NN,0.005,0,0,0,20000,CPU,475.9830324649811,82.54098296165466
GraphTM,0.005,10000,10.0,23,10,CUDA,109.21395993232727,98.7431693989071
TMClassifier,0.005,10000,10.0,32,10,CPU_sparse,1007.2876415252686,76.74180327868852
Graph NN,0.01,0,0,0,20000,CPU,383.468213558197,84.89071130752563
GraphTM,0.01,10000,10.0,23,10,CUDA,112.81892561912537,98.16939890710383
TMClassifier,0.01,10000,10.0,32,10,CPU_sparse,1012.9538216590881,75.0
Graph NN,0.02,0,0,0,20000,CPU,420.129834651947,78.87977957725525
GraphTM,0.02,10000,10.0,23,10,CUDA,120.55745768547058,97.75956284153006
TMClassifier,0.02,10000,10.0,32,10,CPU_sparse,1015.7262468338013,72.43852459016394
Graph NN,0.05,0,0,0,20000,CPU,402.9082715511322,88.90710473060608
GraphTM,0.05,10000,10.0,23,10,CUDA,136.1779272556305,94.69945355191257
TMClassifier,0.05,10000,10.0,32,10,CPU_sparse,1003.5450174808502,64.1051912568306
Graph NN,0.1,0,0,0,20000,CPU,465.9741690158844,71.61202430725098
GraphTM,0.1,10000,10.0,23,10,CUDA,150.92307353019714,90.21857923497268
TMClassifier,0.1,10000,10.0,32,10,CPU_sparse,993.3001370429993,49.62431693989071
Graph NN,0.2,0,0,0,20000,CPU,477.5556457042694,61.967211961746216
GraphTM,0.2,10000,10.0,23,10,CUDA,170.91576671600342,78.71584699453553
TMClassifier,0.2,10000,10.0,32,10,CPU_sparse,968.9711816310883,20.116120218579233
Graph NN,0.005,0,0,0,20000,CPU,432.9368100166321,87.9781424999237
GraphTM,0.005,10000,10.0,23,10,CUDA,110.05442261695862,98.4153005464481
TMClassifier,0.005,10000,10.0,32,10,CPU_sparse,996.241945028305,77.11748633879782
Graph NN,0.01,0,0,0,20000,CPU,487.0275945663452,76.06557607650757
GraphTM,0.01,10000,10.0,23,10,CUDA,114.20750546455383,98.27868852459017
TMClassifier,0.01,10000,10.0,32,10,CPU_sparse,965.2801012992859,74.89754098360656
Graph NN,0.02,0,0,0,20000,CPU,469.96120142936707,84.61748361587524
GraphTM,0.02,10000,10.0,23,10,CUDA,120.18490934371948,97.62295081967213
TMClassifier,0.02,10000,10.0,32,10,CPU_sparse,996.0747539997101,73.05327868852459
Graph NN,0.05,0,0,0,20000,CPU,391.52739334106445,94.4535493850708
GraphTM,0.05,10000,10.0,23,10,CUDA,135.62234830856323,94.89071038251366
TMClassifier,0.05,10000,10.0,32,10,CPU_sparse,1008.111634016037,64.00273224043715
Graph NN,0.1,0,0,0,20000,CPU,393.4089164733887,82.24043846130371
GraphTM,0.1,10000,10.0,23,10,CUDA,150.06821942329407,90.21857923497268
TMClassifier,0.1,10000,10.0,32,10,CPU_sparse,1029.8733656406403,46.89207650273224
Graph NN,0.2,0,0,0,20000,CPU,457.90059518814087,64.50819969177246
GraphTM,0.2,10000,10.0,23,10,CUDA,169.8122251033783,78.5792349726776
TMClassifier,0.2,10000,10.0,32,10,CPU_sparse,994.4631915092468,20.116120218579233
Graph NN,0.005,0,0,0,20000,CPU,468.43779039382935,93.66120100021362
GraphTM,0.005,10000,10.0,23,10,CUDA,791.0080873966217,98.66120218579235
TMClassifier,0.005,10000,10.0,32,10,CPU_sparse,1003.8278872966766,76.63934426229508
Graph NN,0.01,0,0,0,20000,CPU,432.6524693965912,76.06557607650757
GraphTM,0.01,10000,10.0,23,10,CUDA,114.20011568069458,98.4153005464481
TMClassifier,0.01,10000,10.0,32,10,CPU_sparse,1002.5212485790253,74.55601092896174
Graph NN,0.02,0,0,0,20000,CPU,369.3357195854187,77.92349457740784
GraphTM,0.02,10000,10.0,23,10,CUDA,120.16606998443604,97.78688524590164
TMClassifier,0.02,10000,10.0,32,10,CPU_sparse,1012.7241668701172,72.40437158469946
Graph NN,0.05,0,0,0,20000,CPU,425.18350195884705,73.49726557731628
GraphTM,0.05,10000,10.0,23,10,CUDA,134.74739480018616,94.53551912568307
TMClassifier,0.05,10000,10.0,32,10,CPU_sparse,989.5920696258545,64.00273224043715
Graph NN,0.1,0,0,0,20000,CPU,490.52463579177856,74.23497438430786
GraphTM,0.1,10000,10.0,23,10,CUDA,150.663067817688,90.05464480874316
TMClassifier,0.1,10000,10.0,32,10,CPU_sparse,1006.5979704856873,49.86338797814208
Graph NN,0.2,0,0,0,20000,CPU,430.0901610851288,55.51912784576416
GraphTM,0.2,10000,10.0,23,10,CUDA,169.53561758995056,78.52459016393442
TMClassifier,0.2,10000,10.0,32,10,CPU_sparse,978.9952318668365,20.116120218579233
Graph NN,0.005,0,0,0,20000,CPU,348.87419414520264,88.87978196144104
GraphTM,0.005,10000,10.0,23,10,CUDA,110.35069704055786,98.49726775956285
TMClassifier,0.005,10000,10.0,32,10,CPU_sparse,1027.553718328476,76.63934426229508
Graph NN,0.01,0,0,0,20000,CPU,459.8675227165222,94.97267603874207
GraphTM,0.01,10000,10.0,23,10,CUDA,113.4369592666626,98.4153005464481
TMClassifier,0.01,10000,10.0,32,10,CPU_sparse,1020.3086180686951,74.93169398907104
Graph NN,0.02,0,0,0,20000,CPU,402.3793728351593,98.08743000030518
GraphTM,0.02,10000,10.0,23,10,CUDA,121.04798412322998,97.78688524590164
TMClassifier,0.02,10000,10.0,32,10,CPU_sparse,1001.1654710769653,72.1311475409836
Graph NN,0.05,0,0,0,20000,CPU,372.8648886680603,77.81420946121216
GraphTM,0.05,10000,10.0,23,10,CUDA,135.42569255828857,94.78142076502732
TMClassifier,0.05,10000,10.0,32,10,CPU_sparse,1007.9532639980316,64.31010928961749
Graph NN,0.1,0,0,0,20000,CPU,379.2149317264557,88.55191469192505
GraphTM,0.1,10000,10.0,23,10,CUDA,149.3813440799713,89.50819672131148
TMClassifier,0.1,10000,10.0,32,10,CPU_sparse,1043.259267091751,49.65846994535519
Graph NN,0.2,0,0,0,20000,CPU,327.1461730003357,64.15300369262695
GraphTM,0.2,10000,10.0,23,10,CUDA,169.63331365585327,77.75956284153006
TMClassifier,0.2,10000,10.0,32,10,CPU_sparse,1010.9232707023621,20.081967213114755
Graph NN,0.005,0,0,0,20000,CPU,365.3540139198303,84.56284403800964
GraphTM,0.005,10000,10.0,23,10,CUDA,109.86703443527222,98.55191256830601
TMClassifier,0.005,10000,10.0,32,10,CPU_sparse,985.2240512371063,76.84426229508196
Graph NN,0.01,0,0,0,20000,CPU,419.19047832489014,90.65573811531067
GraphTM,0.01,10000,10.0,23,10,CUDA,113.7970187664032,98.19672131147541
TMClassifier,0.01,10000,10.0,32,10,CPU_sparse,1064.9949398040771,75.27322404371584
Graph NN,0.02,0,0,0,20000,CPU,331.5898778438568,82.13114738464355
GraphTM,0.02,10000,10.0,23,10,CUDA,120.9221625328064,97.8415300546448
TMClassifier,0.02,10000,10.0,32,10,CPU_sparse,995.9801988601685,72.1311475409836
Graph NN,0.05,0,0,0,20000,CPU,471.61706471443176,76.4207661151886
GraphTM,0.05,10000,10.0,23,10,CUDA,135.71256685256958,94.31693989071039
TMClassifier,0.05,10000,10.0,32,10,CPU_sparse,1049.4032156467438,64.00273224043715
Graph NN,0.1,0,0,0,20000,CPU,408.78746509552,75.76502561569214
GraphTM,0.1,10000,10.0,23,10,CUDA,150.7326798439026,89.86338797814207
TMClassifier,0.1,10000,10.0,32,10,CPU_sparse,1033.6956369876862,49.59016393442623
Graph NN,0.2,0,0,0,20000,CPU,606.6176900863647,75.84699392318726
GraphTM,0.2,10000,10.0,23,10,CUDA,767.3086304664612,79.18032786885246
TMClassifier,0.2,10000,10.0,32,10,CPU_sparse,1133.7219278812408,20.116120218579233
Graph NN,0.005,0,0,0,20000,CPU,581.8730342388153,75.68305730819702
GraphTM,0.005,10000,10.0,23,10,CUDA,331.4337913990021,98.68852459016394
TMClassifier,0.005,10000,10.0,32,10,CPU_sparse,1139.0209171772003,76.63934426229508
Graph NN,0.01,0,0,0,20000,CPU,625.7649390697479,79.91803288459778
GraphTM,0.01,10000,10.0,23,10,CUDA,390.8302972316742,98.27868852459017
TMClassifier,0.01,10000,10.0,32,10,CPU_sparse,1126.1463103294373,74.86338797814209
Graph NN,0.02,0,0,0,20000,CPU,400.4486656188965,88.87978196144104
GraphTM,0.02,10000,10.0,23,10,CUDA,1433.5869204998016,97.73224043715847
TMClassifier,0.02,10000,10.0,32,10,CPU_sparse,950.7241444587708,72.43852459016394
Graph NN,0.05,0,0,0,20000,CPU,425.54064321517944,88.22404146194458
GraphTM,0.05,10000,10.0,23,10,CUDA,135.85678553581238,95.0
TMClassifier,0.05,10000,10.0,32,10,CPU_sparse,980.2039513587952,40.26639344262295
Graph NN,0.1,0,0,0,20000,CPU,452.5277452468872,75.38251280784607
GraphTM,0.1,10000,10.0,23,10,CUDA,149.88782930374146,89.80874316939891
TMClassifier,0.1,10000,10.0,32,10,CPU_sparse,1026.7852320671082,49.59016393442623
Graph NN,0.2,0,0,0,20000,CPU,470.88474774360657,69.67213153839111
GraphTM,0.2,10000,10.0,23,10,CUDA,169.65682435035706,78.38797814207649
TMClassifier,0.2,10000,10.0,32,10,CPU_sparse,1025.9789564609528,20.116120218579233
Graph NN,0.005,0,0,0,20000,CPU,415.4326367378235,75.68305730819702
GraphTM,0.005,10000,10.0,23,10,CUDA,109.78167200088501,98.82513661202185
TMClassifier,0.005,10000,10.0,32,10,CPU_sparse,1003.7237763404846,76.63934426229508
Graph NN,0.01,0,0,0,20000,CPU,444.45101857185364,92.65027046203613
GraphTM,0.01,10000,10.0,23,10,CUDA,112.90761637687683,98.14207650273225
TMClassifier,0.01,10000,10.0,32,10,CPU_sparse,952.2491714954376,74.86338797814209
Graph NN,0.02,0,0,0,20000,CPU,320.37370920181274,93.90710592269897
GraphTM,0.02,10000,10.0,23,10,CUDA,119.93352174758911,97.78688524590164
TMClassifier,0.02,10000,10.0,32,10,CPU_sparse,943.684113740921,72.40437158469946
Graph NN,0.05,0,0,0,20000,CPU,481.5506682395935,73.08743000030518
GraphTM,0.05,10000,10.0,23,10,CUDA,135.72563362121582,94.75409836065573
TMClassifier,0.05,10000,10.0,32,10,CPU_sparse,1023.0283312797546,63.661202185792355
Graph NN,0.1,0,0,0,20000,CPU,493.5546169281006,70.92896103858948
GraphTM,0.1,10000,10.0,23,10,CUDA,149.45619106292725,89.80874316939891
TMClassifier,0.1,10000,10.0,32,10,CPU_sparse,1015.6581709384918,49.62431693989071
Graph NN,0.2,0,0,0,20000,CPU,413.9959945678711,64.15300369262695
GraphTM,0.2,10000,10.0,23,10,CUDA,170.9294879436493,78.77049180327869
TMClassifier,0.2,10000,10.0,32,10,CPU_sparse,986.7937209606171,20.116120218579233
Graph NN,0.005,0,0,0,20000,CPU,378.53097796440125,75.68305730819702
GraphTM,0.005,10000,10.0,23,10,CUDA,110.98681783676147,98.30601092896175
TMClassifier,0.005,10000,10.0,32,10,CPU_sparse,1019.9160070419312,76.74180327868852
Graph NN,0.01,0,0,0,20000,CPU,474.00093841552734,91.0109281539917
GraphTM,0.01,10000,10.0,23,10,CUDA,111.94242978096008,98.4153005464481
TMClassifier,0.01,10000,10.0,32,10,CPU_sparse,999.8850407600403,75.03415300546447
Graph NN,0.02,0,0,0,20000,CPU,346.5858099460602,79.3169379234314
GraphTM,0.02,10000,10.0,23,10,CUDA,120.32013273239136,97.81420765027322
TMClassifier,0.02,10000,10.0,32,10,CPU_sparse,937.4906117916107,71.92622950819673
Graph NN,0.05,0,0,0,20000,CPU,408.48123002052307,79.61748838424683
GraphTM,0.05,10000,10.0,23,10,CUDA,134.27622246742249,94.72677595628414
