Algorithm,Noise_Ratio,T,s,Max_Included_Literals,Epochs,Platform,Total_Time,Accuracy
TMClassifier,0.005,10000,10.0,32,10,CPU_sparse,976.8008840084076,76.67349726775956
Graph NN,0.01,0,0,0,20000,CPU,473.2922372817993,76.06557607650757
GraphTM,0.01,10000,10.0,23,10,CUDA,112.87212014198303,98.27868852459017
TMClassifier,0.01,10000,10.0,32,10,CPU_sparse,942.7254059314728,74.86338797814209
Graph NN,0.02,0,0,0,20000,CPU,357.36573815345764,75.40983557701111
GraphTM,0.02,10000,10.0,23,10,CUDA,119.41612005233765,97.8415300546448
TMClassifier,0.02,10000,10.0,32,10,CPU_sparse,985.81947016716,72.40437158469946
Graph NN,0.05,0,0,0,20000,CPU,440.75843334198,73.08743000030518
GraphTM,0.05,10000,10.0,23,10,CUDA,136.8215868473053,94.91803278688525
TMClassifier,0.05,10000,10.0,32,10,CPU_sparse,997.739678144455,64.1051912568306
Graph NN,0.1,0,0,0,20000,CPU,426.73446226119995,88.55191469192505
GraphTM,0.1,10000,10.0,23,10,CUDA,149.54467248916626,89.94535519125682
TMClassifier,0.1,10000,10.0,32,10,CPU_sparse,980.096907377243,49.59016393442623
Graph NN,0.2,0,0,0,20000,CPU,387.20843958854675,75.71038007736206
GraphTM,0.2,10000,10.0,23,10,CUDA,169.7962884902954,77.56830601092896
TMClassifier,0.2,10000,10.0,32,10,CPU_sparse,987.0616261959076,20.116120218579233
Graph NN,0.005,0,0,0,20000,CPU,455.586905002594,83.41529965400696
GraphTM,0.005,10000,10.0,23,10,CUDA,109.7424705028534,98.5792349726776
TMClassifier,0.005,10000,10.0,32,10,CPU_sparse,998.4698519706726,76.81010928961749
Graph NN,0.01,0,0,0,20000,CPU,466.44022035598755,98.52458834648132
GraphTM,0.01,10000,10.0,23,10,CUDA,112.78495740890503,98.27868852459017
TMClassifier,0.01,10000,10.0,32,10,CPU_sparse,932.3163437843323,74.93169398907104
Graph NN,0.02,0,0,0,20000,CPU,455.35024762153625,88.96175026893616
GraphTM,0.02,10000,10.0,23,10,CUDA,120.741384267807,97.75956284153006
TMClassifier,0.02,10000,10.0,32,10,CPU_sparse,974.3740100860596,72.1311475409836
Graph NN,0.05,0,0,0,20000,CPU,399.9565739631653,73.60655665397644
GraphTM,0.05,10000,10.0,23,10,CUDA,136.17181992530823,94.67213114754098
TMClassifier,0.05,10000,10.0,32,10,CPU_sparse,971.1499485969543,64.1051912568306
Graph NN,0.1,0,0,0,20000,CPU,447.5498752593994,70.8743155002594
GraphTM,0.1,10000,10.0,23,10,CUDA,149.6928951740265,89.80874316939891
TMClassifier,0.1,10000,10.0,32,10,CPU_sparse,962.4737737178802,49.59016393442623
Graph NN,0.2,0,0,0,20000,CPU,403.6350507736206,64.15300369262695
GraphTM,0.2,10000,10.0,23,10,CUDA,170.02189421653748,78.16939890710383
TMClassifier,0.2,10000,10.0,32,10,CPU_sparse,947.2696743011475,20.116120218579233
Graph NN,0.005,0,0,0,20000,CPU,470.0121097564697,81.20218515396118
GraphTM,0.005,10000,10.0,23,10,CUDA,109.51706099510193,98.82513661202185
TMClassifier,0.005,10000,10.0,32,10,CPU_sparse,974.2360310554504,76.74180327868852
Graph NN,0.01,0,0,0,20000,CPU,466.69573068618774,76.06557607650757
GraphTM,0.01,10000,10.0,23,10,CUDA,112.95063591003418,98.4153005464481
TMClassifier,0.01,10000,10.0,32,10,CPU_sparse,948.407201051712,74.86338797814209
Graph NN,0.02,0,0,0,20000,CPU,288.0073969364166,92.92349815368652
GraphTM,0.02,10000,10.0,23,10,CUDA,119.34772634506226,97.48633879781421
TMClassifier,0.02,10000,10.0,32,10,CPU_sparse,971.228814125061,39.51502732240437
Graph NN,0.05,0,0,0,20000,CPU,477.7228500843048,89.86338973045349
GraphTM,0.05,10000,10.0,23,10,CUDA,135.2427453994751,94.86338797814207
TMClassifier,0.05,10000,10.0,32,10,CPU_sparse,964.5819866657257,34.56284153005464
Graph NN,0.1,0,0,0,20000,CPU,459.15181946754456,71.22950553894043
GraphTM,0.1,10000,10.0,23,10,CUDA,148.52941298484802,89.67213114754098
TMClassifier,0.1,10000,10.0,32,10,CPU_sparse,981.4810082912445,49.59016393442623
Graph NN,0.2,0,0,0,20000,CPU,356.59899377822876,64.15300369262695
GraphTM,0.2,10000,10.0,23,10,CUDA,169.7598683834076,76.85792349726775
TMClassifier,0.2,10000,10.0,32,10,CPU_sparse,959.9282560348511,20.116120218579233
Graph NN,0.005,0,0,0,20000,CPU,378.94336581230164,80.32786846160889
GraphTM,0.005,10000,10.0,23,10,CUDA,109.55144882202148,98.44262295081967
TMClassifier,0.005,10000,10.0,32,10,CPU_sparse,947.1284465789795,76.63934426229508
Graph NN,0.01,0,0,0,20000,CPU,407.1111581325531,94.31694149971008
GraphTM,0.01,10000,10.0,23,10,CUDA,112.06348276138306,98.27868852459017
TMClassifier,0.01,10000,10.0,32,10,CPU_sparse,941.711061000824,39.65163934426229
Graph NN,0.02,0,0,0,20000,CPU,402.2970163822174,79.80874180793762
GraphTM,0.02,10000,10.0,23,10,CUDA,120.20444130897522,97.8415300546448
TMClassifier,0.02,10000,10.0,32,10,CPU_sparse,998.2885782718658,72.1311475409836
Graph NN,0.05,0,0,0,20000,CPU,400.97751235961914,85.30054688453674
GraphTM,0.05,10000,10.0,23,10,CUDA,136.81029963493347,94.78142076502732
TMClassifier,0.05,10000,10.0,32,10,CPU_sparse,1003.2194263935089,64.1051912568306
Graph NN,0.1,0,0,0,20000,CPU,413.25741934776306,74.59016442298889
GraphTM,0.1,10000,10.0,23,10,CUDA,148.70455861091614,89.89071038251366
TMClassifier,0.1,10000,10.0,32,10,CPU_sparse,974.4099938869476,49.62431693989071
Graph NN,0.2,0,0,0,20000,CPU,369.36416029930115,64.15300369262695
GraphTM,0.2,10000,10.0,23,10,CUDA,170.01750564575195,78.55191256830601
TMClassifier,0.2,10000,10.0,32,10,CPU_sparse,990.2080008983612,20.184426229508194
