Exp_id,Algorithm,Noise_Ratio,T,s,Max_Included_Literals,Epochs,Platform,Total_Time,Accuracy
20250409090514,TMClassifier,0.005,10000,10.0,32,10,CPU_sparse,1174.494342327118,76.74180327868852
20250409090514,Graph NN,0.01,0,0,0,2000,CPU,41.743159532547,80.02732396125793
20250409090514,GraphTM,0.01,10000,10.0,23,10,CUDA,114.41021490097046,98.4153005464481
20250409090514,TMClassifier,0.01,10000,10.0,32,10,CPU_sparse,1171.6064977645874,74.93169398907104
20250409090514,Graph NN,0.02,0,0,0,2000,CPU,44.349541664123535,87.45901584625244
20250409090514,GraphTM,0.02,10000,10.0,23,10,CUDA,121.4791738986969,97.45901639344262
20250409090514,TMClassifier,0.02,10000,10.0,32,10,CPU_sparse,952.0120975971222,71.65300546448088
20250409090514,Graph NN,0.05,0,0,0,2000,CPU,48.69317936897278,75.92896223068237
20250409090514,GraphTM,0.05,10000,10.0,23,10,CUDA,136.3904469013214,94.4535519125683
20250409090514,TMClassifier,0.05,10000,10.0,32,10,CPU_sparse,969.868058681488,64.00273224043715
20250409090514,Graph NN,0.1,0,0,0,2000,CPU,44.044572591781616,70.8743155002594
20250409090514,GraphTM,0.1,10000,10.0,23,10,CUDA,149.6289074420929,89.8360655737705
20250409090514,TMClassifier,0.1,10000,10.0,32,10,CPU_sparse,953.6086061000824,50.10245901639344
20250409090514,Graph NN,0.2,0,0,0,2000,CPU,44.549598932266235,61.284154653549194
20250409090514,GraphTM,0.2,10000,10.0,23,10,CUDA,170.53832936286926,79.53551912568307
20250409090514,TMClassifier,0.2,10000,10.0,32,10,CPU_sparse,972.7086639404297,20.116120218579233
20250409090514,Graph NN,0.005,0,0,0,2000,CPU,47.114877223968506,81.69398903846741
20250409090514,GraphTM,0.005,10000,10.0,23,10,CUDA,109.53987145423889,98.68852459016394
20250409090514,TMClassifier,0.005,10000,10.0,32,10,CPU_sparse,957.2526223659515,76.63934426229508
20250409090514,Graph NN,0.01,0,0,0,2000,CPU,37.89606070518494,85.65573692321777
20250409090514,GraphTM,0.01,10000,10.0,23,10,CUDA,114.25655388832092,98.30601092896175
20250409090514,TMClassifier,0.01,10000,10.0,32,10,CPU_sparse,1173.4506571292877,74.93169398907104
20250409090514,Graph NN,0.02,0,0,0,2000,CPU,47.68080997467041,83.36065411567688
20250409090514,GraphTM,0.02,10000,10.0,23,10,CUDA,120.15364933013916,97.8688524590164
20250409090514,TMClassifier,0.02,10000,10.0,32,10,CPU_sparse,1153.5412156581879,72.1311475409836
20250409090514,Graph NN,0.05,0,0,0,2000,CPU,41.10796904563904,83.41529965400696
20250409090514,GraphTM,0.05,10000,10.0,23,10,CUDA,136.6818916797638,95.0
20250409090514,TMClassifier,0.05,10000,10.0,32,10,CPU_sparse,967.7902429103851,63.25136612021858
20250409090514,Graph NN,0.1,0,0,0,2000,CPU,36.63528251647949,82.81420469284058
20250409090514,GraphTM,0.1,10000,10.0,23,10,CUDA,150.54849863052368,89.31693989071037
20250409090514,TMClassifier,0.1,10000,10.0,32,10,CPU_sparse,965.3704278469086,49.62431693989071
20250409090514,Graph NN,0.2,0,0,0,2000,CPU,40.28898596763611,64.61748480796814
20250409090514,GraphTM,0.2,10000,10.0,23,10,CUDA,169.49659419059753,79.97267759562841
20250409090514,TMClassifier,0.2,10000,10.0,32,10,CPU_sparse,1158.38462972641,20.21857923497268
20250409090514,Graph NN,0.005,0,0,0,2000,CPU,43.29892086982727,77.95081734657288
20250409090514,GraphTM,0.005,10000,10.0,23,10,CUDA,110.77093839645386,98.68852459016394
20250409090514,TMClassifier,0.005,10000,10.0,32,10,CPU_sparse,944.0426867008209,76.63934426229508
20250409090514,Graph NN,0.01,0,0,0,2000,CPU,40.48178577423096,91.17486476898193
20250409090514,GraphTM,0.01,10000,10.0,23,10,CUDA,114.66628408432007,98.3879781420765
20250409090514,TMClassifier,0.01,10000,10.0,32,10,CPU_sparse,1151.3295328617096,74.93169398907104
20250409090514,Graph NN,0.02,0,0,0,2000,CPU,46.342252254486084,91.42076373100281
20250409090514,GraphTM,0.02,10000,10.0,23,10,CUDA,121.12805104255676,97.70491803278688
20250409090514,TMClassifier,0.02,10000,10.0,32,10,CPU_sparse,956.9201290607452,72.37021857923497
20250409090514,Graph NN,0.05,0,0,0,2000,CPU,48.09459686279297,90.16393423080444
20250409090514,GraphTM,0.05,10000,10.0,23,10,CUDA,136.35990571975708,94.31693989071039
20250409090514,TMClassifier,0.05,10000,10.0,32,10,CPU_sparse,951.3514447212219,64.00273224043715
20250409090514,Graph NN,0.1,0,0,0,2000,CPU,47.61181974411011,77.04917788505554
20250409090514,GraphTM,0.1,10000,10.0,23,10,CUDA,149.66685557365417,90.40983606557377
20250409090514,TMClassifier,0.1,10000,10.0,32,10,CPU_sparse,1159.4669754505157,49.62431693989071
20250409090514,Graph NN,0.2,0,0,0,2000,CPU,40.52361035346985,61.666667461395264
20250409090514,GraphTM,0.2,10000,10.0,23,10,CUDA,170.45302724838257,79.09836065573771
20250409090514,TMClassifier,0.2,10000,10.0,32,10,CPU_sparse,942.1310601234436,20.116120218579233
20250409090514,Graph NN,0.005,0,0,0,2000,CPU,42.33190155029297,80.79234957695007
20250409090514,GraphTM,0.005,10000,10.0,23,10,CUDA,110.67640900611877,98.82513661202185
20250409090514,TMClassifier,0.005,10000,10.0,32,10,CPU_sparse,1151.425032377243,76.63934426229508
20250409090514,Graph NN,0.01,0,0,0,2000,CPU,46.83778142929077,79.94535565376282
20250409090514,GraphTM,0.01,10000,10.0,23,10,CUDA,113.82480311393738,98.25136612021858
20250409090514,TMClassifier,0.01,10000,10.0,32,10,CPU_sparse,959.6910009384155,74.86338797814209
20250409090514,Graph NN,0.02,0,0,0,2000,CPU,46.91451978683472,79.26229238510132
20250409090514,GraphTM,0.02,10000,10.0,23,10,CUDA,121.25436019897461,97.81420765027322
20250409090514,TMClassifier,0.02,10000,10.0,32,10,CPU_sparse,973.5784142017365,72.1311475409836
20250409090514,Graph NN,0.05,0,0,0,2000,CPU,45.216925859451294,79.56284284591675
20250409090514,GraphTM,0.05,10000,10.0,23,10,CUDA,136.08299708366394,94.89071038251366
20250409090514,TMClassifier,0.05,10000,10.0,32,10,CPU_sparse,941.2294843196869,64.1051912568306
20250409090514,Graph NN,0.1,0,0,0,2000,CPU,35.09868001937866,70.24590373039246
20250409090514,GraphTM,0.1,10000,10.0,23,10,CUDA,150.008531332016,89.97267759562841
20250409090514,TMClassifier,0.1,10000,10.0,32,10,CPU_sparse,967.8004837036133,49.62431693989071
20250409090514,Graph NN,0.2,0,0,0,2000,CPU,40.60944890975952,60.76502799987793
20250409090514,GraphTM,0.2,10000,10.0,23,10,CUDA,170.61232328414917,78.52459016393442
20250409090514,TMClassifier,0.2,10000,10.0,32,10,CPU_sparse,1174.2148485183716,20.116120218579233
20250409090514,Graph NN,0.005,0,0,0,2000,CPU,44.02885293960571,86.72131299972534
20250409090514,GraphTM,0.005,10000,10.0,23,10,CUDA,110.33011960983276,98.82513661202185
20250409090514,TMClassifier,0.005,10000,10.0,32,10,CPU_sparse,1164.813972711563,76.74180327868852
20250409090514,Graph NN,0.01,0,0,0,2000,CPU,34.82557439804077,91.83059930801392
20250409090514,GraphTM,0.01,10000,10.0,23,10,CUDA,113.68903136253357,98.30601092896175
20250409090514,TMClassifier,0.01,10000,10.0,32,10,CPU_sparse,1142.874398946762,74.86338797814209
20250409090514,Graph NN,0.02,0,0,0,2000,CPU,38.12274146080017,84.09836292266846
20250409090514,GraphTM,0.02,10000,10.0,23,10,CUDA,120.88822174072266,97.89617486338797
