Exp_id,Algorithm,Noise_Ratio,T,s,Max_Included_Literals,Epochs,Platform,Total_Time,Accuracy
20250225090119,GraphTM,0.05,10000,10.0,23,10,CUDA,136.56197214126587,94.89071038251366
20250225090119,TMClassifier,0.05,10000,10.0,32,10,CPU_sparse,971.7774770259857,63.25136612021858
20250225090119,Graph NN,0.1,0,0,0,2000,CPU,45.797210931777954,73.5792338848114
20250225090119,GraphTM,0.1,10000,10.0,23,10,CUDA,149.67395901679993,89.23497267759562
20250225090119,TMClassifier,0.1,10000,10.0,32,10,CPU_sparse,979.9483859539032,49.59016393442623
20250225090119,Graph NN,0.2,0,0,0,2000,CPU,41.42583513259888,68.27868819236755
20250225090119,GraphTM,0.2,10000,10.0,23,10,CUDA,170.87367057800293,79.18032786885246
20250225090119,TMClassifier,0.2,10000,10.0,32,10,CPU_sparse,961.5906836986542,20.081967213114755
20250225090119,Graph NN,0.005,0,0,0,2000,CPU,43.93612337112427,79.20765280723572
20250225090119,GraphTM,0.005,10000,10.0,23,10,CUDA,109.73634815216064,98.63387978142076
20250225090119,TMClassifier,0.005,10000,10.0,32,10,CPU_sparse,965.0153555870056,76.63934426229508
20250225090119,Graph NN,0.01,0,0,0,2000,CPU,49.67618227005005,92.45901703834534
20250225090119,GraphTM,0.01,10000,10.0,23,10,CUDA,113.5588014125824,98.4153005464481
20250225090119,TMClassifier,0.01,10000,10.0,32,10,CPU_sparse,983.9533984661102,74.4535519125683
20250225090119,Graph NN,0.02,0,0,0,2000,CPU,36.16115427017212,80.87431788444519
20250225090119,GraphTM,0.02,10000,10.0,23,10,CUDA,120.58146834373474,97.81420765027322
20250225090119,TMClassifier,0.02,10000,10.0,32,10,CPU_sparse,944.9977910518646,71.51639344262296
20250225090119,Graph NN,0.05,0,0,0,2000,CPU,48.164318561553955,83.77048969268799
20250225090119,GraphTM,0.05,10000,10.0,23,10,CUDA,135.97020173072815,94.75409836065573
20250225090119,TMClassifier,0.05,10000,10.0,32,10,CPU_sparse,937.3424286842346,64.1051912568306
20250225090119,Graph NN,0.1,0,0,0,2000,CPU,46.862754344940186,70.84699273109436
20250225090119,GraphTM,0.1,10000,10.0,23,10,CUDA,149.9700825214386,89.72677595628416
20250225090119,TMClassifier,0.1,10000,10.0,32,10,CPU_sparse,990.8207032680511,49.86338797814208
20250225090119,Graph NN,0.2,0,0,0,2000,CPU,48.0979220867157,63.66119980812073
20250225090119,GraphTM,0.2,10000,10.0,23,10,CUDA,170.79332089424133,78.63387978142077
20250225090119,TMClassifier,0.2,10000,10.0,32,10,CPU_sparse,990.5863327980042,20.116120218579233
20250225090119,Graph NN,0.005,0,0,0,2000,CPU,39.39827084541321,83.2513689994812
20250225090119,GraphTM,0.005,10000,10.0,23,10,CUDA,109.96842241287231,98.52459016393442
20250225090119,TMClassifier,0.005,10000,10.0,32,10,CPU_sparse,941.0268743038177,76.63934426229508
20250225090119,Graph NN,0.01,0,0,0,2000,CPU,37.69904541969299,93.44262480735779
